,Tn,Tx,FFmax,RR,lat,lon
1033002,279.49575342465766,291.33465753424633,3.4383561643835616,1140.1999999999998,46.09,5.81
1034004,281.4206849315067,291.28835616438334,4.82109589041096,1033.2999999999997,45.77,5.69
1414001,278.4642465753422,288.27383561643813,5.608767123287672,1451.7000000000003,45.916000000000004,5.625
3060001,279.9105479452053,291.8152054794519,4.933972602739725,675.8,46.17,3.4
4019001,274.16917808219193,289.3982191780822,4.147945205479449,616.4,44.391000000000005,6.67
4049001,281.5120879120877,292.9582417582417,6.998901098901102,1020.3000000000002,44.06,5.99
4068001,279.45450704225345,293.47535211267586,7.202816901408443,891.8000000000001,43.91,5.77
4070009,279.0943835616438,293.30452054794523,5.084383561643837,972.2999999999998,44.07,6.187
4134002,276.7779452054794,291.87054794520543,4.026027397260274,870.8000000000001,44.33,6.03
4136001,276.192191780822,291.0858904109588,4.884109589041096,1183.3,43.98,6.52
4209005,279.3045205479454,292.7393150684932,5.003013698630139,1083.7,44.22,5.92
4230001,281.62726027397264,292.26260273972616,7.091232876712323,990.6000000000001,43.84,6.001
5007003,274.4083561643835,284.828082191781,3.7027397260273953,981.2000000000002,44.8,6.73
5046001,279.3880821917808,290.95794520547946,6.9715068493150705,690.4000000000001,44.57,6.5
5055001,276.6845205479453,290.44753424657546,5.268219178082194,1098.1000000000001,44.57,5.75
5061009,279.50698630137003,291.09767123287673,7.099452054794519,896.5,44.58,6.08
5126001,278.53383561643847,293.4546575342465,5.553150684931506,1104.1000000000001,44.39,5.46
5136002,276.7116438356166,290.737671232877,5.885205479452052,702.6000000000001,44.7,6.6
5145002,277.10013698630127,287.8050684931505,5.39013698630137,1173.9000000000003,44.67100000000001,6.21
5170001,278.4053424657534,292.2653424657536,5.029315068493151,846.5,44.452,6.0329999999999995
5181002,272.52664835164836,285.16153846153827,5.996428571428574,887.8,45.031000000000006,6.362
5183001,276.13356164383566,288.41465753424643,5.653698630136988,559.3,44.88,6.64
6005001,280.5908219178082,288.31684931506845,6.50602739726027,1196.4,43.92,7.01
6029001,284.8275342465752,294.41136986301376,5.1246575342465785,1190.8999999999999,43.56,6.95
6037002,279.9112637362637,286.3760989010989,7.768681318681318,1526.6000000000001,43.75,6.92
6038001,284.7072602739726,292.3330136986303,5.135616438356166,1346.3000000000002,43.67,6.99
6075007,282.3642465753426,290.29986301369877,7.934246575342467,1079.0,43.85,7.21
6083005,287.35410958904083,293.8634246575345,5.854246575342462,1051.1999999999998,43.79,7.49
6088001,287.07794520547947,293.5017808219181,7.614794520547944,923.9999999999999,43.65,7.21
6088007,285.16342465753416,292.8360273972603,5.354246575342464,993.7999999999998,43.74,7.28
6090002,284.9797520661155,294.40454545454526,5.583471074380167,1234.5,43.603,6.937
6091003,281.32999999999987,287.7847058823528,8.68970588235295,1216.0,43.78,7.43
6118002,282.2710958904112,291.14698630136974,6.079999999999997,1170.8999999999999,43.678999999999995,6.809
6136005,283.1743835616435,289.9461643835618,6.490410958904107,1257.0,43.863,7.434
6152002,286.0519178082191,293.11904109589034,4.970684931506849,1253.0,43.62,7.03
7068001,281.8667597765363,289.60726256983236,6.389106145251392,1055.0000000000002,45.02,4.67
7096001,281.2102739726029,288.7450684931505,6.012328767123291,1484.8,44.839,4.524
7187001,281.668904109589,288.50589041095895,10.66630136986301,2385.2999999999993,44.61,4.24
7202002,282.6658045977012,293.0908045977013,3.3787356321839086,2480.7999999999997,44.53,4.07
7204008,278.2458904109587,286.7875342465754,6.637260273972601,1158.1,45.0,4.37
11004001,283.78760683760663,292.0326210826207,6.512820512820516,812.0999999999999,43.11,2.1
11069001,283.520410958904,292.9582191780822,8.510136986301378,830.5,43.22,2.3
11081003,283.42804154302667,292.0476261127596,7.497922848664686,735.7,43.33,2.48
11124003,283.5231506849316,294.2845205479454,7.3769863013698656,1051.6000000000001,42.99,2.82
11202001,286.559589041096,293.024520547945,10.303561643835614,723.3,42.92,3.06
11203004,284.3634246575345,293.7710958904112,10.427123287671233,983.5999999999998,43.173,2.7289999999999996
11333001,282.3861643835615,290.06150684931544,7.700273972602737,989.5,43.0,2.05
12005001,277.62534246575353,286.0845205479451,8.945205479452056,1269.3,44.76,2.87
12077002,278.4217808219178,289.0738356164383,7.636986301369861,1305.3000000000002,43.92,3.19
12145001,280.92554945054957,289.551098901099,9.283241758241756,733.5,44.12,3.02
12154003,280.7071022727272,290.94346590909106,7.8090909090909175,918.5999999999998,43.89,2.84
12254001,279.5720670391063,289.94162011173194,7.472346368715081,889.6999999999999,44.41,2.48
12266002,279.7143835616441,287.75438356164364,7.468767123287671,1047.9999999999998,44.288999999999994,2.82
12300004,280.8497260273973,292.0132876712327,5.4,1002.9000000000001,44.372,2.024
13001009,283.2184931506847,294.61164383561663,5.004657534246577,889.1000000000001,43.528999999999996,5.425
13004003,284.5319178082191,293.9612328767123,8.379452054794518,848.2,43.51,4.694
13005003,282.4957063711913,295.10595567867017,6.021052631578949,1074.5,43.31,5.6
13047001,284.80424657534235,294.64205479452033,9.334794520547941,774.5999999999999,43.52,4.92
13054001,285.0294520547945,294.7231506849315,8.895068493150678,825.1999999999999,43.44,5.22
13055029,284.07027397260276,294.48205479452054,5.155616438356168,989.7,43.31,5.48
13062002,282.2464383561642,292.35,4.634794520547947,959.8000000000001,43.42,5.5
13074003,281.2563711911355,294.3970914127421,5.577285318559555,822.2,43.657,5.607
13091002,281.68205479452064,293.5201369863017,5.387945205479451,870.0999999999999,43.6,5.32
13099001,281.11601671309194,294.12520891364903,5.008077994428971,923.6999999999999,43.71,5.77
13103001,283.0765753424659,294.4954794520548,7.785479452054799,807.3,43.6,5.1
13108004,284.3826027397261,294.2834246575341,7.186027397260279,868.7000000000002,43.83,4.64
13110003,281.96232876712315,294.26835616438353,5.68821917808219,905.5999999999999,43.45,5.7
13111002,281.1735457063713,291.4740997229916,5.158171745152356,885.1000000000001,43.55,5.68
15014004,279.42013698630143,289.80917808219164,6.059178082191777,963.4999999999999,44.9,2.42
15114002,277.2247945205477,286.5749315068493,6.628219178082185,1089.8,45.303000000000004,2.833
15120005,279.5921917808218,289.4560273972602,5.404383561643835,1001.2000000000003,45.22,2.29
15122002,281.4116438356164,290.43328767123313,5.396438356164381,1228.0,44.73,2.17
19073006,279.50890410958925,289.5746575342467,4.83753424657534,1488.5000000000002,45.398999999999994,2.059
19164001,278.30232876712313,287.93027397260266,5.825479452054799,1250.3000000000002,45.701,2.059
20004002,285.1450684931505,294.9541095890411,5.971232876712331,832.3,41.92,8.79
20046002,290.0411764705882,295.99558823529424,9.431862745098039,599.6,42.887,9.44
20050001,285.1763013698631,295.1406849315069,6.734246575342467,784.9000000000001,42.53,8.79
20096008,280.3198630136987,294.0784931506848,4.909863013698632,1090.1999999999998,42.288000000000004,9.193
20107001,288.32878787878775,293.71831955922863,13.038842975206604,582.4000000000001,43.0,9.36
20114002,283.5261643835618,295.6626027397259,8.416712328767122,787.5,41.51,9.1
20148001,285.56424657534257,294.4823287671232,6.267671232876708,1116.0,42.54,9.49
20154001,285.79054794520545,292.227534246575,6.617808219178082,897.8,42.19,8.66
20185003,283.61191780821906,295.0450684931507,5.900273972602744,863.4,42.632,9.32
20223001,282.8511019283749,291.87920110192846,5.774655647382916,1012.9000000000001,42.54,9.19
20232002,285.43818681318675,293.3302197802199,5.1445054945054975,1074.8999999999999,41.81,8.9
20254006,280.990273972603,290.5930136986303,4.925753424657532,1756.8,41.78,9.14
20258001,280.315205479452,290.49438356164393,5.671506849315065,1321.6,42.19,8.81
20268001,282.18829201101937,291.2929752066116,6.285950413223141,1324.7,41.943000000000005,9.123
20270001,286.13520547945205,293.38315068493165,4.297260273972609,979.4,42.08,8.8
20272004,284.33342541436497,295.0914364640883,4.783701657458565,831.2,41.65,8.98
20303002,287.4909340659341,295.372802197802,7.473076923076924,883.4999999999999,42.26,9.54
20342001,286.79849315068503,294.61520547945196,6.079178082191782,840.8,41.92,9.4
23067001,277.4442465753425,288.3332876712329,4.458082191780824,1069.3,45.7,2.26
23079002,279.3800275482094,289.42548209366396,5.398347107438014,775.0999999999999,45.88,2.19
26002003,281.8795264623953,292.63774373259037,6.788300835654594,774.3999999999999,45.25,4.82
26064001,282.27794520547957,292.5601369863014,8.216164383561644,942.3,44.91,4.97
26074001,278.0861643835614,288.3343835616436,5.257808219178083,1233.6,44.96,5.42
26168001,277.4160273972603,288.4464383561647,6.502739726027391,1229.2,44.67,5.71
26198001,283.67876712328786,292.8853424657532,6.7506849315068465,1048.7,44.58,4.73
26292002,278.78342465753406,291.76726027397285,6.169589041095884,1030.3,44.29,5.41
26327001,279.9012893982808,292.36432664756444,5.113180515759315,1100.4,44.69,5.43
30003001,285.8217808219177,294.62095890410944,9.25342465753423,858.0999999999998,43.537,4.207
30081002,284.33220338983034,294.53107344632787,9.008474576271187,1064.0,44.13,4.71
30087002,280.0618309859153,290.77816901408437,3.842253521126761,1869.0,44.02,3.83
30101001,283.4968493150684,293.6971232876712,5.8558904109589065,1240.3,44.07,4.14
30132004,283.2319178082192,291.6519178082192,6.73342465753425,2136.6000000000004,44.243,4.01
30189001,284.22041095890427,295.0368493150684,6.385205479452055,1093.2,43.86,4.41
30209002,282.4979452054794,294.4647945205479,7.835068493150682,1008.8,43.998000000000005,4.76
30297001,277.65000000000003,286.96696428571437,5.58422619047619,1743.4,44.12,3.47
30352002,282.48808219178085,294.86506849315055,5.425205479452053,1046.1999999999998,43.795,4.091
34028003,282.8636986301369,292.00589041095895,7.253150684931506,1395.2000000000003,43.64,3.15
34151005,283.5469863013698,294.4217808219179,5.8745205479452,1098.8999999999999,43.63,4.17
34154001,284.42260273972613,294.08671232876725,8.03397260273973,963.5000000000001,43.58,3.96
34209002,284.07328767123295,294.2620547945207,7.966301369863012,969.9000000000001,43.32,3.35
34217001,281.84589041095893,294.8004109589038,4.728219178082194,1236.0,43.72,3.86
34239002,283.50424657534273,294.7428767123287,7.885479452054794,966.4999999999999,43.66,3.51
34269001,283.804820936639,293.51831955922876,7.567493112947654,1183.3,43.39,2.86
34274001,281.6938356164384,293.6275342465754,5.936164383561644,1406.6000000000001,43.778999999999996,3.7289999999999996
34301002,286.5694444444446,293.0905555555556,7.343055555555556,822.9999999999998,43.4,3.69
34306001,284.68975155279503,293.8751552795031,9.738819875776395,1163.9,43.71,3.35
34311001,284.1395890410957,294.40835616438346,6.815890410958905,1017.4999999999999,43.438,3.4
38053003,281.9072602739727,291.01493150684934,6.447671232876715,794.8,45.608000000000004,5.309
38133001,282.15986301369855,291.9784931506852,4.582465753424657,1078.8,45.36,5.6
38191002,274.07717086834754,282.8012605042019,6.590476190476191,1089.6000000000001,45.09,6.09
38269004,276.0401369863012,289.30123287671245,6.153972602739725,1099.3,44.94,5.79
38336001,282.28839779005506,291.8613259668507,5.9419889502762455,688.6,45.48,4.81
38384001,280.12534246575336,290.8450684931503,6.573424657534245,831.3000000000001,45.36,5.31
38538002,281.1458904109588,292.4280821917809,4.907945205479451,1060.7,45.22,5.85
38548001,276.3527397260274,287.4798630136987,7.058082191780825,1252.6,45.08,5.56
42005001,279.771095890411,291.3932876712329,6.263561643835619,588.9,45.55,4.29
42039003,276.8527397260272,287.234383561644,6.5663013698630195,995.6000000000001,45.699,3.844
42101001,278.45054794520524,285.2694520547945,9.166301369863014,919.4999999999999,45.361000000000004,4.56
42207005,281.87493150684924,291.3442465753425,5.9347945205479435,610.5,45.49,4.53
42218011,280.74560439560423,290.03131868131874,5.760164835164832,728.4,45.45,4.36
42253001,280.55547945205484,291.0160273972603,6.0224657534246555,534.1,46.05,3.99
43046001,278.94260273972594,289.7061643835615,6.241095890410959,771.9999999999999,45.05,3.89
43062001,277.7423287671232,288.5206849315068,6.054794520547949,800.3000000000001,45.07,3.76
43096001,279.21,291.5445205479452,5.69726027397261,732.6,45.3,3.42
43111002,276.9072602739726,285.78205479452043,8.111506849315067,951.0000000000001,44.86,3.84
43130002,278.087808219178,285.8110958904108,9.026301369863017,1069.8000000000002,45.03,4.24
43137003,279.57164383561656,288.597397260274,6.7736986301369875,703.6,45.31399999999999,4.231
43234005,276.00835616438343,288.16726027397266,6.959452054794525,890.1999999999999,44.97,3.54
46100001,281.82095890410926,291.5782191780827,4.772328767123289,816.7,44.58,2.0
48004001,280.09346590909104,288.1960227272726,7.81789772727273,1840.4,44.494,3.852
48020003,279.02452054794543,286.84671232876724,11.89013698630136,1986.5,44.199,3.6319999999999997
48057002,276.01353591160205,283.0058011049721,11.256906077348068,958.2,44.66,3.54
48095005,278.6590410958906,288.6182191780821,6.282739726027398,973.2,44.53,3.45
48105001,277.4274104683195,287.9566115702478,6.9449035812672175,1039.8,44.75,3.83
48148004,282.55164383561663,292.8321917808216,7.418356164383561,2178.4,44.17,3.85
48176002,278.8099999999997,288.55301369863014,5.767945205479451,1261.1,44.246,3.304
48186001,279.47082191780805,288.2935616438355,6.3706849315068474,1632.8999999999999,44.32,3.65
63038002,277.32506849315075,284.7776712328769,8.71397260273973,1536.6999999999998,45.501999999999995,2.866
63113001,280.94095890410944,291.61356164383574,6.653150684931508,515.4,45.79,3.15
63125002,280.9217808219177,290.53684931506876,6.565753424657537,707.1000000000001,45.754,3.572
63178001,279.9026027397261,291.76095890410977,5.269041095890411,517.7,45.54,3.26
63319002,276.66232876712337,284.6135616438355,7.3243835616438355,1003.1999999999999,45.576,3.886
63353003,277.0538356164382,286.4132876712329,5.010684931506848,984.9,45.46,3.53
63354004,279.45109589041107,288.3171232876714,6.46876712328767,721.6,46.033,2.804
63399002,278.8604109589041,287.8998630136987,6.091780821917807,742.9000000000001,45.647,2.5980000000000003
66029003,284.96730769230777,293.342032967033,8.52802197802198,1040.6999999999998,42.59,2.68
66074002,280.62534246575336,293.9946575342466,5.177534246575342,743.8,42.63,2.45
66082004,275.3712121212123,286.57066115702463,7.775757575757579,859.1,42.61600000000001,2.1109999999999998
66136001,285.5765753424657,294.63273972602747,8.765753424657534,835.1999999999998,42.74,2.87
66137003,284.76232876712345,293.6995890410957,7.111780821917812,1197.0,42.47,2.86
66187006,283.7198630136986,292.9187671232874,9.228767123287673,1167.5,42.821000000000005,2.485
66204002,282.8102739726028,290.8376712328767,7.489863013698626,769.4,42.58,2.41
66212001,284.6067123287668,294.08287671232875,7.119726027397256,761.6,42.76,2.98
66233001,285.0935616438358,294.0795890410958,8.755342465753431,963.4000000000001,42.536,2.761
69029001,282.72068493150687,292.2283561643835,6.761643835616439,807.7,45.73,4.94
69206001,280.803698630137,291.78205479452043,4.935890410958907,681.8,46.058,4.711
69258001,280.16232876712326,287.6078082191778,4.563561643835616,1027.2,46.217,4.628
69299001,282.63164383561656,291.5998630136985,7.137534246575332,742.7000000000002,45.73,5.08
73011004,281.6708219178084,292.2905479452053,3.8915068493150695,1238.8000000000002,45.66,6.37
73051001,276.873611111111,283.34583333333325,7.610277777777781,1298.3000000000002,45.66,5.82
73054001,278.75493150684923,290.8426027397261,4.214246575342463,1053.8000000000002,45.61,6.76
73191005,280.91657381615596,290.7093314763232,3.7359331476323088,1254.6,45.56,5.8
73329001,280.9675342465754,291.6661643835617,5.942191780821916,1071.8999999999999,45.64,5.88
74042003,279.3209589041097,290.6686301369862,4.681369863013701,1006.8,46.07,6.38
74056001,275.65767123287696,288.7710958904109,2.9005479452054796,1234.5,45.93,6.88
74056005,276.3730136986301,285.38095890410966,5.8284931506849285,1590.5,46.004,6.949
74135001,279.29821917808226,290.1697260273972,5.9838356164383555,1202.3,45.76,6.26
74136005,276.701506849315,284.7705479452056,4.380273972602739,1888.0,45.973,6.472
74182001,280.05575342465744,290.6267123287672,5.282739726027396,1128.7,45.93,6.09
74285002,281.42315068493167,290.48863013698644,5.573150684931505,955.6000000000001,46.01,5.84
81115002,281.4146723646726,290.92179487179476,7.305982905982897,1640.7,43.48,2.66
81182004,281.9924657534247,289.7897260273974,6.175342465753425,1179.3,43.73,2.36
81192005,279.43096590909096,286.39090909090913,8.476136363636359,1984.2,43.63,2.83
81284001,282.337397260274,292.9349315068493,5.6895890410958865,748.5,43.91,2.12
81292001,281.62589041095885,289.9716438356164,7.046575342465753,912.6,44.11,2.28
83002004,281.73136986301364,293.10260273972625,4.8402739726027395,1158.0,43.79,6.24
83019002,282.2431506849315,294.6823287671233,4.1424657534246565,1511.4,43.2,6.38
83031001,283.4793150684932,295.3472602739726,6.7336986301369866,1433.5,43.38,6.39
83035001,283.4938356164386,291.916575342466,7.296986301369861,915.2,43.251999999999995,5.785
83044003,279.80369863013703,289.80808219178084,5.942739726027399,1517.4999999999998,43.659,6.471
83061001,285.25109589041125,294.42945205479487,5.635342465753425,1150.6,43.423,6.7379999999999995
83061007,284.4132876712328,291.4212328767125,6.8287671232876725,1403.7,43.5,6.81
83069001,285.23027397260284,294.23657534246576,7.649589041095889,963.1999999999999,43.09,6.15
83069002,287.2735616438356,293.7776712328769,11.46082191780824,832.9,43.0,6.227
83102005,281.310821917808,292.218767123288,6.721095890410965,678.6,43.67,6.11
83116022,280.87082191780837,293.84589041095904,5.9999999999999964,997.2999999999998,43.48,5.85
83124002,282.6527397260275,294.15383561643847,5.53698630136986,1356.0999999999997,43.58,6.622000000000001
83148002,284.6437677053822,294.1279036827196,8.694900849858358,1174.6000000000001,43.39,6.53
83150002,280.153287671233,294.36616438356197,6.702465753424661,750.0000000000001,43.73,5.78
84003003,281.0168493150684,293.8798630136985,5.008219178082194,1043.9,43.89,5.38
84007005,282.91383561643823,294.53191780821925,8.045479452054797,896.3999999999999,43.91,4.9
84009002,281.5319178082193,293.331095890411,6.399726027397261,917.9,43.79,5.62
84025001,281.4765753424656,294.2187671232877,5.588219178082194,1086.6000000000001,43.88399999999999,5.165
84026003,281.69301369862995,294.4097260273976,5.465205479452053,1059.1999999999998,43.72,5.35
84031001,282.19752747252744,295.0428571428569,5.220604395604393,893.3999999999999,44.08,5.06
84086001,282.36565934065914,290.40521978021974,8.601098901098906,1272.6,43.81,5.15
84087001,283.26616438356155,294.07301369863035,8.609863013698629,1086.9,44.14,4.86
84094001,283.21904109589036,292.6568493150687,6.948493150684929,981.7,44.29,5.13
